CNTYVTD,VTDKEY,AbbottR_18G_Governor,ValdezD_18G_Governor,TippettsL_18G_Governor
"0293186",792,1,0,0
"0293187",793,0,0,0
"0293188",794,0,0,0
"0293189",795,304,309,8
"0293190",796,110,113,6
"0293191",797,85,42,1
"0293192",798,0,0,0
"0293193",799,72,49,3
"0293194",800,1384,628,27
"0293195",801,301,810,23
"0293196",802,7,3,0
"0293197",803,0,0,0
"0293198",804,223,173,9
"0293199",805,1158,655,28
"0293200",806,0,0,0
"0293201",807,1620,752,17
"0293202",808,371,214,3
"0293203",809,199,94,10
"0293204",810,0,0,0
"0293205",811,0,0,0
"0294001",812,346,650,29
"0294002",813,59,256,3
"0294003",814,80,342,4
"0294004",815,68,165,5
"0294005",816,142,607,19
"0294006",817,62,218,5
"0294007",818,189,169,13
"0294008",819,200,220,14
"0294009",820,64,235,6
"0294010",821,93,501,12
"0294011",822,54,276,4
"0294012",823,48,198,6
"0294013",824,111,270,5
"0294014",825,38,124,0
"0294015",826,161,620,16
"0294016",827,282,749,19
"0294017",828,238,863,28
"0294018",829,181,483,18
"0294019",830,329,638,21
"0294020",831,217,331,7
"0294021",832,243,277,8
"0294022",833,29,27,1
"0294023",834,464,611,16
"0294024",835,463,718,17
"0294025",836,177,317,7
"0294026",837,408,921,23
"0294027",838,250,472,6
"0294028",839,303,816,13
"0294029",840,155,650,14
"0294030",841,14,116,1
"0294031",842,205,475,6
"0294032",843,297,486,10
"0294033",844,541,847,14
"0294034",845,307,446,15
"0294035",846,6,14,0
"0294036",847,259,866,26
"0294037",848,94,471,8
"0294038",849,693,877,41
"0294039",850,56,419,5
"0294040",851,81,395,7
"0294041",852,120,627,10
"0294042",853,23,23,1
"0294043",854,555,795,26
"0294044",855,240,343,13
"0294045",856,462,631,15
"0294046",857,826,615,25
"0294047",858,400,659,17
"0294048",859,181,519,5
"0294049",860,351,569,24
"0294050",861,556,340,20
"0294051",862,697,426,25
"0294052",863,648,502,18
"0294053",864,382,482,12
"0294054",865,865,932,45
"0294055",866,450,302,18
"0294056",867,804,679,27
"0294057",868,748,350,16
"0294058",869,638,330,16
"0294059",870,599,520,23
"0294060",871,432,480,15
"0294061",872,297,532,16
"0294062",873,107,191,0
"0294063",874,142,206,6
"0294064",875,551,518,20
"0294065",876,199,463,14
"0294066",877,566,887,29
"0294067",878,340,362,9
"0294068",879,80,129,5
"0294069",880,414,171,10
"0294070",881,509,959,22
"0294071",882,770,122,6
"0294072",883,1229,382,16
"0294073",884,414,299,19
"0294074",885,498,367,10
"0294075",886,70,225,3
"0294076",887,392,738,18
"0294077",888,521,745,9
"0294078",889,558,135,6
"0294079",890,439,290,17
"0294080",891,345,521,20
"0294081",892,119,72,5
"0294082",893,112,493,10
"0294083",894,157,177,9
"0294084",895,50,126,3
"0294085",896,12,0,0
"0294086",897,141,72,5
"0294087",898,462,560,14
"0294088",899,605,968,24
"0294089",900,696,674,23
"0294090",901,496,481,26
"0294091",902,200,322,15
"0294092",903,525,347,8
"0294093",904,592,582,26
"0294094",905,495,431,16
"0294095",906,455,411,19
"0294096",907,423,574,24
"0294097",908,414,411,11
"0294098",909,398,396,21
"0294099",910,230,308,15
"0294100",911,218,240,11
"0294101",912,316,168,3
"0294102",913,102,197,9
"0294103",914,0,0,0
"0294104",915,415,440,15
"0294105",916,357,240,13
"0294106",917,59,102,3
"0294107",918,402,348,13
"0294108",919,797,750,50
"0294109",920,157,221,8
"0294110",921,154,453,11
"0294111",922,15,103,0
"0294112",923,343,198,13
"0294113",924,71,230,7
"0294114",925,12,11,0
"0294115",926,60,46,5
"0294116",927,17,12,1
"0294117",928,161,152,9
"0294118",929,43,3,0
"0294119",930,90,242,6
"0294120",931,30,51,3
"0294121",932,59,30,4
"0294122",933,13,37,3
"0294123",934,16,57,0
"0294124",935,209,543,15
"0294125",936,10,22,1
"0294126",937,457,237,10
"0294127",938,10,11,0
"0294128",939,38,55,4
"0294129",940,36,12,0
"0294130",941,175,180,4
"0294131",942,55,96,4
"0294132",943,452,649,20
"0294133",944,15,2,0
"0294134",945,2,2,0
"0294135",946,0,0,0
"0294136",947,131,52,4
"0294137",948,53,3,0
"0294138",949,2,2,0
"0294139",950,0,0,0
"0294140",951,0,0,0
"0294141",952,13,80,1
"0294142",953,43,181,5
"0294143",954,259,576,14
"0294144",955,205,94,0
"0294145",956,4,2,0
"0294146",957,8,9,0
"0294147",958,65,82,6
"0294148",959,41,47,2
"0294149",960,69,99,6
"0294150",961,272,454,11
"0294151",962,239,55,1
"0294152",963,380,499,17
"0294153",964,31,20,2
"0294154",965,169,188,4
"0294155",966,306,1026,31
"0294156",967,138,299,8
"0294157",968,186,637,10
"0294158",969,82,154,8
"0294159",970,4,3,0
"0294160",971,241,486,9
"0294161",972,24,180,2
"0294162",973,515,526,23
"0294163",974,357,603,23
"0294164",975,812,454,22
"0294165",976,38,16,0
"0294166",977,47,67,3
"0294167",978,6,7,0
"0294168",979,338,573,14
"0294169",980,118,75,4
"0294170",981,73,97,1
"0294171",982,380,297,16
"0294172",983,294,269,11
"0294173",984,448,392,27
"0294174",985,269,327,21
"0294175",986,0,0,0
"0294176",987,318,225,13
"0294177",988,2,17,0
"0294178",989,0,2,0
"0294179",990,837,683,34
"0294180",991,2,0,0
"0294181",992,0,0,0
"0294182",993,1,0,0
"0294183",994,14,39,3
"0294184",995,0,9,1
"0294185",996,2,0,0
"0294186",997,12,46,2
"0294187",998,0,0,0
"0294188",999,0,1,0
"0294189",1000,116,242,6
"0294190",1001,0,2,0
"0294191",1002,0,0,0
"0294192",1003,0,0,0
"0294193",1004,8,9,2
"0294194",1005,146,152,6
"0294195",1006,0,0,0
"0294196",1007,0,0,0
"0294197",1008,1,4,0
"0294198",1009,234,482,21
"0294199",1010,216,276,10
"0294200",1011,453,760,14
"0294201",1012,7,2,0
"0294202",1013,0,0,0
"0294203",1014,47,143,7
"0294204",1015,0,3,0
"0294205",1016,31,25,3
"0294206",1017,94,111,3
"0294207",1018,14,2,0
"0294208",1019,0,0,0
"0294209",1020,23,4,0
"0294210",1021,2,3,1
"0294211",1022,0,20,0
"0294212",1023,2,0,0
"0294213",1024,0,1,0
"0294214",1025,316,335,14
"0294215",1026,44,46,1
"0294216",1027,119,179,3
"0294217",1028,18,32,1
"0294218",1029,16,36,3
"0294219",1030,0,0,0
"0294220",1031,0,1,0
"0294221",1032,0,0,0
"0294222",1033,74,90,5
"0294223",1034,5,5,0
"0294224",1035,0,0,0
"0294225",1036,193,134,10
"0294226",1037,53,34,2
"0294227",1038,0,0,0
"0294228",1039,91,171,8
"0294229",1040,247,565,17
"0294230",1041,211,478,7
"0310102",1042,1025,291,30
"0310201",1043,1149,324,31
"0310302",1044,654,263,21
"0310303",1045,443,114,10
"0310401",1046,1056,357,23
"0330004",1047,68,2,0
"033001a",1048,51,4,0
"033001b",1049,36,4,1
"033002a",1050,55,2,0
"033002b",1051,26,2,0
