CNTYVTD,VTDKEY,CruzR_12G_U.S. Sen,SadlerD_12G_U.S. Sen,MyersL_12G_U.S. Sen,CollinsG_12G_U.S. Sen
"0292076",489,630,577,42,9
"0292077",490,605,674,33,15
"0292078",491,412,707,27,20
"0292079",492,23,178,0,5
"0292080",493,207,377,14,10
"0292081",494,126,251,8,2
"0292082",495,219,400,17,12
"0292083",496,111,258,6,13
"0292084",497,1294,824,38,19
"0292085",498,179,438,11,10
"0292086",499,841,863,50,18
"0292087",500,558,482,13,13
"0292088",501,839,1037,45,21
"0292089",502,30,148,2,0
"0292090",503,227,437,17,8
"0292091",504,420,694,39,18
"0292092",505,95,122,8,3
"0292093",506,168,184,7,7
"0292094",507,88,29,5,0
"0292095",508,725,580,36,14
"0292096",509,343,464,22,6
"0292097",510,481,692,31,21
"0292098",511,221,335,13,12
"0292099",512,426,318,21,7
"0292100",513,212,374,12,5
"0292101",514,29,14,3,1
"0292102",515,697,713,30,16
"0292103",516,19,76,0,0
"0292104",517,16,79,0,1
"0292105",518,21,172,0,1
"0292106",519,82,144,8,8
"0292107",520,319,419,20,6
"0292108",521,440,270,11,9
"0292109",522,0,0,0,0
"0292110",523,109,97,2,1
"0292111",524,153,276,14,6
"0292112",525,419,542,17,9
"0292113",526,10,23,1,0
"0292114",527,358,601,22,7
"0292115",528,358,172,14,7
"0292116",529,1,0,0,0
"0292117",530,43,177,1,2
"0292118",531,1,10,0,0
"0292119",532,79,124,7,4
"0292120",533,143,69,4,1
"0292121",534,97,148,7,6
"0292122",535,208,406,15,10
"0292123",536,506,358,16,5
"0292124",537,182,192,4,2
"0292125",538,149,140,7,2
"0292126",539,292,360,21,11
"0292127",540,707,704,26,18
"0292128",541,116,544,14,4
"0292129",542,0,0,0,0
"0292130",543,472,549,30,10
"0292131",544,39,90,6,1
"0292132",545,2,1,0,0
"0292133",546,109,102,3,2
"0292134",547,154,288,13,9
"0292135",548,79,176,7,2
"0292136",549,1114,853,55,21
"0292137",550,235,322,15,3
"0292138",551,195,246,18,7
"0292139",552,529,448,24,11
"0292140",553,257,434,16,11
"0292141",554,323,376,22,8
"0292142",555,77,163,7,3
"0292143",556,567,590,32,14
"0292144",557,407,519,24,14
"0292145",558,118,94,5,3
"0292146",559,9,17,0,1
"0292147",560,84,93,2,7
"0292148",561,757,1009,46,31
"0292149",562,309,450,23,17
"0292150",563,0,2,0,1
"0292151",564,7,11,0,0
"0292152",565,46,189,5,3
"0292153",566,39,81,5,3
"0292154",567,423,404,28,7
"0292155",568,0,0,0,0
