CNTYVTD,VTDKEY,ClintonD_16G_President,TrumpR_16G_President,JohnsonL_16G_President,SteinG_16G_President,Write-InW_16G_President
"4530251",8823,924,282,56,21,8
"4530252",8824,367,174,18,5,0
"4530253",8825,378,167,29,7,5
"4530254",8826,1710,586,128,53,15
"4530255",8827,1391,499,112,38,15
"4530256",8828,1229,529,108,28,21
"4530260",8829,897,417,92,24,23
"4530261",8830,926,371,88,22,17
"4530262",8831,1405,576,145,34,17
"4530263",8832,1213,552,111,30,22
"4530264",8833,1500,607,141,27,32
"4530265",8834,986,376,98,31,28
"4530266",8835,1454,503,103,32,23
"4530267",8836,1398,820,110,12,21
"4530268",8837,1078,586,75,14,18
"4530270",8838,1459,1167,168,22,36
"4530271",8839,810,891,85,11,22
"4530272",8840,1286,1585,143,20,23
"4530273",8841,854,1045,96,16,16
"4530274",8842,1198,1055,130,23,24
"4530275",8843,668,598,71,12,9
"4530280",8844,551,1307,70,17,14
"4530281",8845,509,1183,65,9,8
"4530282",8846,363,696,47,15,6
"4530290",8847,1508,1518,155,18,27
"4530291",8848,347,331,43,9,3
"4530292",8849,843,1135,106,17,20
"4530293",8850,986,1317,122,17,24
"4530294",8851,656,885,68,11,6
"4530300",8852,936,249,61,19,6
"4530301",8853,880,347,89,9,7
"4530302",8854,1484,485,128,30,19
"4530303",8855,121,49,8,1,3
"4530304",8856,1919,421,142,38,24
"4530305",8857,1005,262,96,26,12
"4530306",8858,2331,352,115,52,9
"4530307",8859,2096,392,124,56,12
"4530310",8860,1527,348,96,46,11
"4530311",8861,1692,496,112,40,15
"4530312",8862,2865,504,172,66,15
"4530313",8863,1301,346,81,30,10
"4530314",8864,1365,253,92,41,11
"4530315",8865,2193,453,137,51,14
"4530320",8866,1600,998,143,25,33
"4530321",8867,881,537,59,19,14
