FIPSCode,Jurisdiction_Name,State_Full,State_Abbr,D1a,D1Comments,D2a,D2b,D2Comments,D3a,D3Comments,D4a,D4b,D4c,D5a,D5b,D5c,D4_D5Comments,D6,D7,D6_D7Comments,D8a,D8b,D8c,D8d,D8e,D8f,D8g,string_field_28,string_field_29
1309700000,DOUGLAS COUNTY,GEORGIA,GA,55327,,21789,30258,,25,,25,Data not available,Data not available,5,Data not available,Data not available,,Data not available,Data not available,,216,2,46,10,60,68,30,,
1311500000,FLOYD COUNTY,GEORGIA,GA,31434,,15416,14744,,25,,25,Data not available,Data not available,3,Data not available,Data not available,,Data not available,Data not available,,153,3,10,30,90,15,5,,
1312100000,FULTON COUNTY,GEORGIA,GA,422287,,179878,224026,,382,,185,Data not available,Data not available,31,Data not available,Data not available,,Data not available,Data not available,,1574,23,74,209,477,482,309,,
1312700000,GLYNN COUNTY,GEORGIA,GA,32605,,13218,17580,,20,,20,Data not available,Data not available,2,Data not available,Data not available,,Data not available,Data not available,,159,8,8,7,28,48,60,,
1313500000,GWINNETT COUNTY,GEORGIA,GA,313595,,155665,137335,,156,,156,Data not available,Data not available,8,Data not available,Data not available,,Data not available,Data not available,,1746,97,104,159,549,524,313,,
1313900000,HALL COUNTY,GEORGIA,GA,67352,,39499,24408,,31,,31,Data not available,Data not available,4,Data not available,Data not available,,Data not available,Data not available,,266,4,11,23,46,81,101,,
1315100000,HENRY COUNTY,GEORGIA,GA,98512,,34776,58749,,37,,37,Data not available,Data not available,5,Data not available,Data not available,,Data not available,Data not available,,392,54,43,17,82,118,78,,
1315300000,HOUSTON COUNTY,GEORGIA,GA,59313,,21206,34903,,17,,16,Data not available,Data not available,3,Data not available,Data not available,,Data not available,Data not available,,126,2,12,16,33,42,21,,
1318500000,LOWNDES COUNTY,GEORGIA,GA,35258,,12099,21269,,9,,9,Data not available,Data not available,1,Data not available,Data not available,,Data not available,Data not available,,137,7,11,10,53,33,23,,
1321500000,MUSCOGEE COUNTY,GEORGIA,GA,63247,,31078,27730,,25,,25,Data not available,Data not available,1,Data not available,Data not available,,Data not available,Data not available,,309,29,25,22,42,100,91,,
1321700000,NEWTON COUNTY,GEORGIA,GA,43202,,21195,19257,,22,,22,Data not available,Data not available,2,Data not available,Data not available,,Data not available,Data not available,,187,27,10,7,40,40,63,,
1322300000,PAULDING COUNTY,GEORGIA,GA,61314,,25116,32879,,12,,12,Data not available,Data not available,1,Data not available,Data not available,,Data not available,Data not available,,161,7,16,30,49,32,27,,
1324500000,RICHMOND COUNTY,GEORGIA,GA,70204,,36103,28796,,68,,42,Data not available,Data not available,4,Data not available,Data not available,,Data not available,Data not available,,390,0,13,31,92,137,117,,
1324700000,ROCKDALE COUNTY,GEORGIA,GA,36689,,11988,22827,,16,,16,Data not available,Data not available,1,Data not available,Data not available,,Data not available,Data not available,,141,3,11,46,69,8,4,,
1328500000,TROUP COUNTY,GEORGIA,GA,23967,,11446,11250,,15,,15,Data not available,Data not available,1,Data not available,Data not available,,Data not available,Data not available,,133,13,12,8,22,35,43,,
1328900000,TWIGGS COUNTY,GEORGIA,GA,3804,,1991,1537,,5,,5,Data not available,Data not available,1,Data not available,Data not available,,Data not available,Data not available,,31,6,6,3,6,6,4,,
6600000000,GUAM,GUAM,GU,37386,,35408,1042,,67,,22,22,Does not apply,1,Does not apply,1,,335,Does not apply,,335,Data not available,99,96,117,22,1,,
1500100000,HAWAII COUNTY,HAWAII,HI,59482,,23985,6613,,43,,42,42,0,4,3,1,,611,18,EXTRA EARLY VOTE SITE FOR 2018,611,3,46,46,162,184,170,,
1500300000,HONOLULU COUNTY,HAWAII,HI,262700,,116462,13904,,155,,144,144,0,2,1,1,,2190,40,,2190,98,369,597,195,502,429,,
1500700000,KAUAI COUNTY,HAWAII,HI,25825,,11405,3124,,16,,15,15,0,1,1,0,,218,7,,218,4,9,54,13,64,74,,
1500900000,MAUI COUNTY,HAWAII,HI,50650,,23268,4659,,35,,34,34,0,2,1,1,,467,18,,467,28,62,140,44,90,103,,
1604900000,IDAHO COUNTY,IDAHO,ID,7130,,5238,1892,,28,,22,22,0,1,0,1,,140,4,,144,0,6,16,47,60,15,,
1608300000,TWIN FALLS COUNTY,IDAHO,ID,24888,,18032,6856,,47,,21,21,0,1,0,1,,223,2,,225,0,10,11,43,66,95,,
1800300000,ALLEN COUNTY,INDIANA,IN,127189,,90077,28469,,292,,116,116,0,6,5,1,,618,57,,675,57,12,27,138,201,200,,
1801900000,CLARK COUNTY,INDIANA,IN,49383,,40678,5585,,72,,47,47,0,2,1,1,,326,12,,338,12,85,0,0,0,0,,
1806100000,HARRISON COUNTY,INDIANA,IN,15825,,12176,2665,,39,,20,20,0,1,0,1,,199,8,,207,8,9,15,54,74,55,,
1809700000,MARION COUNTY,INDIANA,IN,309686,,225527,65128,,600,,287,287,0,8,7,1,,2086,115,,2201,115,146,223,608,565,394,,
1810500000,MONROE COUNTY,INDIANA,IN,52718,,27359,21355,,82,,34,34,0,1,0,1,,321,57,,378,57,28,33,73,104,96,,
2100900000,BARREN COUNTY,KENTUCKY,KY,15493,,14909,584,KENTUCKY HAS IN-PERSON ABSENTEE NOT EARLY VOTE,25,,20,20,0,1,0,1,,124,0,JURISDICTION USES EMPLOYEES FOR EARLY VOTING,124,0,6,5,35,51,27,,
2101300000,BELL COUNTY,KENTUCKY,KY,7873,,7479,394,KENTUCKY HAS IN-PERSON ABSENTEE NOT EARLY VOTE,30,,27,27,0,1,0,1,,122,0,JURISDICTION USES EMPLOYEES,155,0,45,55,40,15,0,,
